Game Title,Console,Price
Castlevania III: Dracula's Curse,PS,179.08
Caveman Games,PS,36.92
Challenge of the Dragon [Black],PS,0.00
Challenge of the Dragon [Blue],PS,267.65
Championship Bowling,PS,24.69
Championship Pool,PS,26.84
Championship Rally [PAL],PS,161.85
Cheetahmen II,PS,"2,291.29"
Chessmaster,PS,19.48
Chevaliers du Zodiaque [PAL],PS,0.00
Chiller,PS,163.27
"Chip 'n Dale Rescue Rangers 2, Disney's",PS,583.51
"Chip 'n Dale Rescue Rangers, Disney's",PS,63.90
Chubby Cherub,PS,521.66
Chubby Cherub [5 Screw],PS,396.17
Circus Caper,PS,24.39
City Connection,PS,30.01
Clash at Demonhead,PS,55.44
Classic Concentration,PS,23.86
Cliffhanger,PS,124.10
Clu Clu Land,PS,269.95
Clu Clu Land [5 Screw],PS,246.68
Cobra Command,PS,40.55
Cobra Triangle,PS,26.32
Code Name: Viper,PS,53.84
Color a Dinosaur,PS,442.38
Commando,PS,45.81
Commando [5 Screw],PS,49.33
Conan: The Mysteries of Time,PS,142.38
Conflict,PS,34.14
Conquest of the Crystal Palace,PS,103.68
Contra,PS,137.32
Contra Force,PS,460.36
Cool World,PS,183.58
Cowboy Kid,PS,521.98
Crackout [PAL],PS,32.60
Crash 'n' the Boys: Street Challenge,PS,89.24
Crystal Mines [Black],PS,125.00
Crystal Mines [Blue],PS,49.46
Crystalis,PS,69.22
Cyber Stadium Series: Base Wars,PS,26.18
Cyberball,PS,31.65
Cybernoid: The Fighting Machine,PS,21.83
Dance Aerobics,PS,27.50
Danny Sullivan's Indy Heat,PS,42.39
Darkman,PS,67.04
"Darkwing Duck, Disney's",PS,197.40
Dash Galaxy in the Alien Asylum,PS,25.32
Day Dreamin' Davey,PS,62.47
Days of Thunder,PS,15.49
Deadly Towers,PS,27.65
Deadly Towers [5 Screw],PS,45.62
Death Race,PS,95.72
Deathbots,PS,49.29
Defender II,PS,29.13
Defender of the Crown,PS,42.92
Defenders of Dynatron City,PS,113.66
Demon Sword,PS,34.94
Desert Commander,PS,28.70
Destination Earthstar,PS,19.95
Destiny of an Emperor,PS,78.19
Devil World [PAL],PS,0.00
Dick Tracy,PS,45.19
Die Hard,PS,271.22
Dig Dug II: Trouble in Paradise,PS,30.66
Digger T. Rock: The Legend of the Lost City,PS,47.23
Dirty Harry,PS,41.80
Disney Adventures in the Magic Kingdom,PS,24.98
Dizzy the Adventurer [Aladdin Deck Enhancer],PS,41.83
Donkey Kong,PS,262.83
Donkey Kong 3,PS,107.75
Donkey Kong 3 [5 Screw],PS,177.26
Donkey Kong Classics,PS,35.78
Donkey Kong Jr.,PS,178.39
Donkey Kong Jr. Math,PS,"1,180.85"
Donkey Kong Jr. Math [5 Screw],PS,"1,685.31"
Donkey Kong Jr. [5 Screw],PS,295.34
Donkey Kong [5 Screw],PS,150.87
Double Dare,PS,35.48
Double Dragon,PS,41.25
Double Dragon II: The Revenge,PS,56.76
Double Dragon III: The Sacred Stones,PS,72.56
Double Dribble,PS,15.65
Double Dribble [5 Screw],PS,0.00
Double Strike,PS,53.14
Dr. Chaos,PS,32.15
Dr. Jekyll and Mr. Hyde,PS,110.43
Dr. Mario,PS,16.88
Dragon Fighter,PS,741.61
Dragon Power,PS,35.77
Dragon Spirit: The New Legend,PS,34.64
Dragon Warrior,PS,48.80
Dragon Warrior II,PS,138.21
Dragon Warrior III,PS,190.09
Dragon Warrior IV,PS,244.00
Dragon's Lair,PS,69.88
Dropzone [PAL],PS,113.99
Duck Hunt,PS,82.32
Duck Hunt [5 Screw],PS,64.31
"DuckTales 2, Disney's",PS,553.61
"DuckTales, Disney's",PS,70.52
Dudes with Attitude,PS,30.05
Dungeon Magic: Sword of the Elements,PS,41.29
Dusty Diamond's All-Star Softball,PS,148.44
Dynowarz: Destruction of Spondylus,PS,24.15
Déjà Vu,PS,29.47
Elevator Action,PS,57.32
Elevator Action [5 Screw],PS,53.50
Eliminator Boat Duel,PS,47.75
Elite [PAL],PS,71.27
Excitebike,PS,45.31
Excitebike [5 Screw],PS,76.21
Exodus: Journey to the Promised Land,PS,30.00
F-117A Stealth Fighter,PS,38.24
F-15 City War,PS,22.38
F-15 Strike Eagle,PS,18.99
Family Feud,PS,29.00
Family Fun Fitness Pad,PS,571.73
Fantastic Adventures of Dizzy,PS,39.68
The Fantastic Adventures of Dizzy [Aladdin Deck Enhancer],PS,17.84
Fantasy Zone,PS,51.91
Faria: A World of Mystery & Danger!,PS,190.28
Faxanadu,PS,39.81
Felix the Cat,PS,176.75
Ferrari Grand Prix Challenge,PS,26.96
Fester's Quest,PS,36.10
Final Fantasy,PS,97.58
Fire 'n Ice,PS,324.02
Firehawk,PS,28.51
Fisher-Price: Firehouse Rescue,PS,57.85
Fisher-Price: I Can Remember,PS,33.02
Fisher-Price: Perfect Fit,PS,32.23
Fist of the North Star,PS,93.65
Flight of the Intruder,PS,22.50
Flintstones: Rescue of Dino & Hoppy,PS,65.65
Flintstones: The Surprise at Dinosaur Peak,PS,"2,615.49"
Flying Dragon: The Secret Scroll,PS,41.28
Flying Warriors,PS,73.26
Formula 1 Sensation [PAL],PS,98.33
Formula One: Built to Win,PS,65.91
Fox's Peter Pan & The Pirates: The Revenge of Captain Hook,PS,46.89
